copd_me_3_rrmse_3_11_7_13, mntl_bh_p_me_2_rate_3_11_7_13, circ_me_3_rrmse_3_11_7_13, mntl_bh_p_me_3_rrmse_3_11_7_13, respirtry_me_3_rrmse_3_11_7_13, asthma_me_3_rrmse_3_11_7_13, area_code, mntl_bh_m_me_2_rate_3_11_7_13, hypertens_me_3_rrmse_3_11_7_13, hg_choles_me_2_rate_3_11_7_13, asthma_me_2_rate_3_11_7_13, diabetes_me_2_rate_3_11_7_13, musculo_me_3_rrmse_3_11_7_13, mntl_bh_f_me_3_rrmse_3_11_7_13, mntl_bh_f_me_2_rate_3_11_7_13, area_name, respirtry_me_2_rate_3_11_7_13, musculo_me_2_rate_3_11_7_13, hypertens_me_2_rate_3_11_7_13, arthritis_me_2_rate_3_11_7_13, circ_me_2_rate_3_11_7_13, arthritis_me_3_rrmse_3_11_7_13, diabetes_me_3_rrmse_3_11_7_13, copd_me_2_rate_3_11_7_13, hg_choles_me_3_rrmse_3_11_7_13, mntl_bh_m_me_3_rrmse_3_11_7_13
1.0,13.4303461084756,3.0,3.0,3.0,3.0,20110,12.3366897701029,3.0,35.3057387226384,12.8476681681485,3.56562935440792,3.0,3.0,14.6492354456544,"Alpine (S)",34.3511264707318,28.4973059836076,9.57879685658035,14.5891892746564,17.6656117140363,3.0,3.0,2.1485216864796,3.0,3.0
1.0,14.2120267136201,3.0,3.0,3.0,3.0,20260,12.2431689633156,3.0,34.9375991156737,12.6444862885225,3.68647464613791,3.0,3.0,16.338850058268,"Ararat (RC)",30.6848974556534,29.849878076861,9.80007792406328,16.1683661411773,17.4952321937602,3.0,1.0,2.07343554167985,3.0,3.0
3.0,14.7416623172016,3.0,3.0,3.0,3.0,20570,12.5162613268324,3.0,33.9747814590637,15.1469191704113,4.08497319178187,3.0,3.0,16.820496982037,"Ballarat (C)",35.6691543509679,28.8302586644678,9.82811788471425,16.1964380349317,17.3905031299513,3.0,3.0,2.19152123166778,3.0,3.0
3.0,12.6174627984975,3.0,3.0,3.0,3.0,20660,11.4176527207225,3.0,32.7673442475167,11.4112106480675,3.72710075552451,3.0,3.0,13.7275808734684,"Banyule (C)",33.1287187429134,26.2113130042715,9.84929326722461,13.4738015875368,16.082554620237,3.0,3.0,1.85949595690168,3.0,3.0
3.0,14.6919801135372,3.0,3.0,3.0,3.0,20740,12.602288007782,3.0,33.0470403397441,13.6115813201464,3.85333931398852,3.0,3.0,16.814899925855,"Bass Coast (S)",30.029334713622,27.8075239335793,9.67519986545623,15.7144003734598,17.4203059543124,3.0,3.0,2.0570252989959,3.0,3.0
3.0,13.3446894101874,3.0,3.0,3.0,3.0,20830,11.0486302429322,3.0,36.44976348978,13.3221963300765,3.51203161050882,3.0,3.0,15.649535882613,"Baw Baw (S)",29.7169323035944,27.1341647694251,8.99907391649287,14.1973541475,16.0313885675581,3.0,3.0,2.05195461851289,3.0,3.0
3.0,12.1189180213569,3.0,3.0,3.0,3.0,20910,11.42653700508,3.0,34.324752474389,10.174982042695,3.35421569753037,3.0,3.0,12.7711870517372,"Bayside (C)",30.3535387183597,25.6199495853002,9.688458424885,12.6962927833229,15.3174411979039,3.0,3.0,1.72014211643438,3.0,3.0
3.0,14.7748026566978,3.0,3.0,3.0,3.0,21010,12.5474356278616,3.0,35.486708235613,14.1107327227663,3.48742216000066,3.0,3.0,16.9364248004425,"Benalla (RC)",31.2955755659699,28.9192424899781,9.58744177756483,14.9395521259902,17.2585627898667,3.0,3.0,2.13861075004447,3.0,3.0
3.0,12.1123451439535,3.0,3.0,3.0,3.0,21110,11.5935822524472,3.0,34.368258147864,9.45614860154232,3.6625824005417,3.0,3.0,12.614793861436,"Boroondara (C)",29.4756928181062,24.5270946221923,9.45264581992394,12.0776391459517,14.2649091415947,3.0,3.0,1.64314248882098,3.0,3.0
3.0,12.1436632510289,3.0,3.0,3.0,3.0,21180,8.85058477545901,3.0,31.7343218098351,8.39618271016507,8.79899994898212,3.0,3.0,15.4920304260947,"Brimbank (C)",24.4812042604525,25.3790235746255,10.1133087768121,13.6550076452025,16.6172480890722,3.0,3.0,1.66066468039965,3.0,3.0
1.0,12.8118992652516,3.0,3.0,3.0,3.0,21270,11.9535645819255,3.0,35.6426507032693,13.776186304944,3.73792426522959,3.0,3.0,13.7787768095062,"Buloke (S)",32.2018100388649,28.9172443225793,9.14299887839347,16.4853591178779,17.4077783194539,3.0,1.0,2.16518346734999,3.0,3.0
3.0,14.1322469410011,3.0,3.0,3.0,3.0,21370,11.6505026230039,3.0,34.2252201212483,13.7322184029664,3.74339887478964,3.0,3.0,16.6477764311599,"Campaspe (S)",30.9632047684864,28.3390026994233,9.56964457041326,15.5218560053264,17.0422738973221,3.0,3.0,2.16469124411365,3.0,3.0
3.0,12.1763091441558,3.0,3.0,3.0,3.0,21450,10.1520856659722,3.0,32.8081905433248,12.9837654629585,3.8047189906492,3.0,3.0,14.1760696966601,"Cardinia (S)",29.7331854920456,27.7056768748828,10.4360528565261,13.9570311759752,17.3374091268434,3.0,3.0,1.92700067438589,3.0,3.0
3.0,11.5775616546423,3.0,3.0,3.0,3.0,21610,8.86522412323654,3.0,32.9015527698031,10.0629421775973,5.25885535579664,3.0,3.0,14.2968920456941,"Casey (C)",27.7135563918354,26.5339865722203,10.3861430422917,13.5966788863109,17.0955164945095,3.0,3.0,1.74205110380149,3.0,3.0
3.0,16.0125805340618,3.0,3.0,3.0,3.0,21670,13.8272097155336,3.0,32.8742518730425,13.4400847521984,4.11711831039017,3.0,3.0,18.2515153501318,"Central Goldfields (S)",30.5101799389118,29.683493842128,9.73117403072408,17.9086950032605,18.1309103719393,3.0,3.0,2.26364568415356,3.0,3.0
3.0,14.0620318234002,3.0,3.0,3.0,3.0,21750,11.7995247792222,3.0,36.8137007063518,13.5967201864259,3.66273922002231,3.0,3.0,16.3998291453843,"Colac-Otway (S)",34.7980388481971,27.653578350509,9.60604541595297,14.5841060049594,16.6017042892427,3.0,3.0,2.08038063073437,3.0,3.0
1.0,13.1847494988478,3.0,3.0,3.0,3.0,21830,11.5482933366381,3.0,35.7401275121934,13.21153417873,3.54494998788549,3.0,3.0,14.8997559393771,"Corangamite (S)",35.1707462395792,28.3396255626974,9.95069622046726,15.3815876588864,16.8939933915839,3.0,3.0,2.06267304816917,3.0,3.0
